24/07/1998,England,Plymouth,50.375457,-4.142656,Cigar,we saw some lights in the sky in the shape of a cigar&#39 no sound was heard and no jetstream trailed behind. It went in a straight line a
07/08/1998,England,Greenaway,50.573134,-4.915697,Circle,eight glowing orbs in v triangular formation&#44 high speed.
15/08/1998,England,Southampton,50.9,-1.4,Teardrop,mysterios grey silent blob like shape errily glides across from my view
15/08/1998,England,Luton,51.883333,-0.416667,Light,light moving in a line before dissappearing
21/08/1998,England,Glastonbury,51.146667,-2.714444,Sphere,red ball splits in 2 then joins  back together over middle drove glastonbury england 1998
01/09/1998,England,Dartford,51.464869,0.257776,Triangle,Dark grey silent hovering triangle with lights on each corner - over England.
04/09/1998,Scotland,Barrhead,55.8,-4.366667,Triangle,silent and fast triangle no lights brown? in colour
05/09/1998,England,Shrewsbury,52.716667,-2.733333,Circle,A round white object flew diagonally behind a cloud.
07/09/1998,England,Ampney Knowle,51.733333,-1.883333,Circle,The carft was silent and moved at a short pace&#44 bright yellow and like a huge ball with flashing lights around it.
15/09/1998,England,Grimsby,53.567471,-0.080784,,Four lights that form a triangle.
01/10/1998,England,Warrington,53.383333,-2.6,Fireball,It was a clear night&#44 the fireball was huge and you could almost hear a rumbling. It shot across the sky from left to right at an incre
09/10/1998,England,West Berkshire,51.433333,-1,Sphere,luminous orange sphere as big as a house flying horizontally then at angle of about 45 degrees flew off into sky.
09/10/1998,England,City of London,51.514125,-0.093689,Other,White lights seen emitting other smaller lights&#44 then a matchbox type shape flew above head and morphed into plane
06/11/1998,England,Bath,51.379444,-2.365556,Light,6 lights all in a row&#44 behind each other&#44 all white&#44 2nd light was brighter than the rest and the last 2 were close together. Observed
15/11/1998,England,City of London,51.514125,-0.093689,Rectangle,black rectangular monolith travelling slowly&#44 over london  (eastham) observed for about 4 minutes
15/11/1998,Wales,Newborough,53.164868,-4.359065,Oval,Hovering over mountain about 10kms away from our house. Started as 2 Big glowing balls of Red the changed to 5 little red glowing balls
16/11/1998,England,Sheffield,53.381129,-1.470085,Egg,Strange sighting near Sheffield&#44 UK.
20/11/1998,England,St Stephen,50.633889,-4.364444,Disk,saurcer with 7 lights
07/12/1998,Scotland,Alloa,56.116667,-3.8,Oval,The UFO in the sky we saw it on a birthday of my friends&#33&#33&#33&#33&#33
13/12/1998,England,Dolbeare,50.516667,-3.75,Cigar,Four large white lights surrounded by a luminus edge
25/12/1998,England,Haltwhistle,54.983333,-2.433333,Light,Bright light followed our car in fog; happened near Hadrian&#39s wall in England&#44 Christmas of 98&#39.
15/01/1999,England,Stevenage,51.903761,-0.196612,Fireball,Driving  home past railway station . Saw  ball of light rise up&#44 travel horizontally for approx 100 yrds then unsteadily zig zag until
05/03/1999,Scotland,Laurieston,56,-3.75,Triangle,On my way home one night i seen a triangular object 90-100 feet in the air - which i proceeded to follow
07/03/1999,England,Christchurch,50.735777,-1.778586,Disk,Very bright orange object in clear night sky at almost exactly due north from my location and 20 degrees from the horizon moved very sl
08/03/1999,England,Shalford,51.216667,-0.566667,Circle,it poped out from behind clouds&#44 paused&#44 moved Westerly&#44
01/04/1999,England,Goring-on-Thames,51.521767,-1.127205,Formation,Ships flew over house and stopped over field
